(172,174,254)
(164,170,249)
(154,166,244)
(150,170,244)
(148,174,247)
(129,177,242)
(97,174,231)
(92,162,222)
(159,178,246)
(175,177,247)
(169,180,249)
(169,178,247)
(185,172,247)
(198,167,246)
(206,164,249)
(202,169,247)
(180,170,246)
(166,175,244)
(166,174,246)
(162,177,247)
(161,177,252)
(154,178,252)
(150,175,249)
(140,174,246)
(137,175,242)
(134,174,241)
(130,177,239)
(132,178,241)
(135,182,241)
(138,185,244)
(137,185,241)
(143,180,241)
(161,169,241)
(172,167,246)
(172,169,242)
(170,167,241)
(167,166,236)
(167,166,233)
(167,170,236)
(170,174,238)
(170,180,239)
(164,177,236)
(162,175,234)
(158,172,231)
(154,172,233)
(153,174,234)
(154,175,236)
(150,177,239)
(145,180,247)
(140,180,250)
(129,180,246)
(126,178,241)
(132,178,238)
(143,182,239)
(162,182,239)
(167,180,239)
(166,178,238)
(159,178,236)
(148,178,238)
(145,178,239)
(150,178,244)
(161,175,246)
(175,169,247)
(180,166,246)
(169,162,241)
(158,161,238)
(151,161,236)
(140,164,238)
(127,164,236)
(108,162,231)
(95,164,233)
(102,164,234)
(129,161,238)
(146,158,238)
(158,154,238)
(143,158,238)
(111,164,238)
(100,162,234)
(116,156,236)
(121,151,233)
(124,154,236)
(126,150,228)
(134,150,226)
(146,154,226)
(154,151,225)
(148,143,215)
(146,142,214)
(151,150,220)
(137,140,217)
(130,140,215)
(129,137,215)
(130,140,215)
(138,142,218)
(146,145,215)
(154,143,212)
(153,142,210)
(150,145,217)
(148,146,217)
(145,143,214)
(140,140,204)
(142,143,204)
(143,151,204)
(143,154,207)
(137,154,202)
(127,148,199)
(118,142,194)
(121,135,194)
(114,124,190)
(103,98,177)
(81,68,153)
(73,52,142)
(78,50,142)
(74,41,129)
(78,46,130)
(66,47,127)
(55,42,118)
(39,38,108)
(30,33,97)
(34,33,95)
(42,36,92)
(49,33,90)
(60,34,89)
(68,38,90)
(74,41,94)
(71,41,94)
(63,36,89)
(54,30,81)
(44,28,74)
(52,33,81)
(50,36,79)
(47,34,71)
(38,34,65)
(38,34,65)
(42,39,70)
(49,39,76)
(55,36,81)
(57,30,84)
(63,30,90)
(73,31,95)
(71,33,89)
(63,30,81)
(55,30,66)
(55,33,62)
(58,34,57)
(73,31,57)
(76,33,58)
(76,34,60)
(70,36,60)
(63,34,62)
(55,34,60)
(52,33,62)
(47,34,62)
(42,30,57)
(44,34,62)
(49,38,62)
(46,34,58)
(49,33,54)
(49,33,54)
(47,28,47)
(38,28,47)
(31,28,65)
(39,31,81)
(58,42,100)
(74,49,114)
(82,47,124)
(81,44,127)
(78,41,129)
(68,39,134)
(74,58,154)
(63,55,153)
(52,50,150)
(47,49,146)
(47,47,143)
(49,46,142)
(54,44,138)
(54,41,137)
(57,44,145)
(55,47,146)
(55,47,146)
(49,44,143)
(42,41,143)
(41,39,142)
(46,39,143)
(50,41,145)
(57,41,146)
(62,44,145)
(63,41,143)
(57,41,137)
(57,46,137)
(57,52,140)
(52,54,135)
(47,46,126)
(60,42,122)
(63,41,118)
(65,44,127)
(71,52,135)
(71,54,143)
(62,52,140)
(57,44,140)
(52,46,140)
(36,30,124)
(34,33,122)
(38,36,126)
(38,39,121)
(39,36,119)
(38,38,114)
(36,36,113)
(41,39,106)
(46,39,95)
(46,39,86)
(44,38,78)
(44,41,73)
(46,44,70)
(42,42,62)
(38,34,54)
(30,28,44)
(30,28,41)
(33,28,44)
(39,31,46)
(39,33,42)
(41,31,39)
(38,30,31)
(36,28,30)
(31,28,28)
(30,28,31)
(28,28,33)
(28,28,30)
(31,30,33)
(41,33,34)
(39,31,33)
(44,34,36)
(49,39,41)
(46,34,42)
(44,31,42)
(42,30,47)
(42,31,55)
(47,33,65)
(47,36,70)
(46,36,76)
(42,34,78)
(39,33,79)
(41,38,84)
(44,39,81)
(38,34,70)
(34,33,58)
(34,34,54)
(36,31,46)
(30,28,34)
(38,31,39)
(38,33,36)
(38,31,39)
(36,30,38)
(34,28,41)
(34,28,41)
(33,28,46)
(34,28,47)
(33,30,49)
(33,30,49)
(33,28,52)
(33,28,52)
(36,28,54)
(38,28,55)
(44,30,63)
(46,30,66)
(54,36,78)
(54,34,82)
(52,34,86)
(54,34,92)
(54,36,97)
(54,36,100)
(50,30,100)
(49,28,98)
(57,30,98)
(57,34,102)
(60,34,110)
(54,34,111)
(50,33,113)
(46,33,118)
(46,36,124)
(44,38,132)
(46,38,135)
(42,38,137)
(39,38,140)
(41,39,142)
(44,41,146)
(50,47,153)
(58,50,161)
(52,60,161)
(60,100,180)
(65,118,190)
(76,126,198)
(79,121,194)
(78,118,188)
(81,118,190)
(84,122,190)
(84,124,191)
(92,138,201)
(86,138,201)
(82,134,199)
(71,127,191)
(66,121,190)
(66,121,190)
(66,118,186)
(65,111,182)
(86,118,193)
(84,121,194)
(81,127,199)
(73,132,202)
(57,132,202)
(47,132,201)
(49,134,202)
(55,140,209)
(55,130,201)
(63,129,201)
(76,127,206)
(94,130,210)
(110,132,215)
(119,132,217)
(121,130,215)
(118,127,212)
(114,132,215)
(113,135,218)
(113,137,215)
(102,134,209)
(97,134,207)
(90,135,201)
(86,130,196)
(74,124,186)
(74,127,190)
(76,129,191)
(81,134,196)
(86,138,201)
(97,142,207)
(98,143,209)
(103,143,214)
(105,142,214)
(122,150,218)
(116,146,215)
(103,143,210)
(102,142,209)
(105,135,204)
(108,129,199)
(116,130,199)
(119,138,206)
(105,140,206)
(92,134,198)
(92,127,193)
(97,129,194)
(114,138,201)
(118,145,207)
(105,148,207)
(100,142,206)
(113,135,214)
(111,134,212)
(102,134,210)
(87,134,204)
(81,137,201)
(79,140,196)
(86,140,198)
(97,142,198)
(118,143,201)
(122,137,196)
(127,130,194)
(134,137,201)
(137,146,215)
(134,153,220)
(121,148,217)
(116,143,212)
(138,145,222)
(126,138,214)
(100,135,202)
(89,134,199)
(100,135,201)
(106,138,204)
(113,140,202)
(105,142,202)
(92,150,210)
(79,142,202)
(86,134,199)
(102,137,204)
(127,138,217)
(129,140,218)
(116,140,218)
(105,142,215)
(105,137,212)
(100,130,202)
(108,124,199)
(118,134,209)
(119,145,218)
(111,151,222)
(94,150,218)
(84,148,215)
(84,146,209)
(94,142,207)
(114,137,204)
(119,132,196)
(118,127,193)
(111,132,193)
(103,143,198)
(114,148,199)
(145,145,202)
(138,138,196)
(103,138,196)
(87,137,199)
(89,129,199)
(90,119,194)
(105,111,190)
(111,111,188)
(130,130,207)
(129,134,204)
(134,135,206)
(135,134,201)
(143,132,201)
(143,132,201)
(130,129,199)
(113,124,193)
(97,132,198)
(97,138,202)
(102,137,204)
(103,130,199)
(113,127,198)
(118,126,198)
(119,116,190)
(110,105,178)
(118,108,183)
(124,119,193)
(129,127,198)
(122,127,198)
(113,127,196)
(108,130,198)
(103,134,194)
(98,130,196)
(89,121,198)
(90,124,206)
(90,132,207)
(100,132,207)
(121,129,207)
(132,126,204)
(137,121,196)
(122,118,191)
(106,132,199)
(90,130,194)
(92,126,186)
(97,124,186)
(118,122,193)
(121,126,196)
(113,132,199)
(106,135,201)
(114,148,220)
(103,148,214)
(92,143,209)
(90,140,202)
(110,134,196)
(118,127,193)
(124,127,191)
(114,129,190)
(89,132,186)
(81,134,186)
(90,132,190)
(106,135,194)
(137,135,206)
(151,143,215)
(151,153,223)
(156,159,225)
(162,156,223)
(162,153,218)
(159,153,220)
(156,153,220)
(146,148,218)
(122,134,202)
(98,119,190)
(84,114,183)
(71,111,178)
(78,118,185)
(94,126,191)
(108,127,194)
(129,126,193)
(148,124,194)
(158,118,188)
(159,110,182)
(178,177,255)
(172,174,254)
(164,172,250)
(158,174,249)
(150,175,244)
(134,174,241)
(102,174,233)
(105,167,228)
(158,177,244)
(175,177,247)
(166,180,249)
(169,180,249)
(178,174,247)
(188,169,246)
(198,167,249)
(194,169,246)
(177,172,244)
(166,175,244)
(167,175,247)
(164,178,249)
(162,178,254)
(154,178,252)
(150,175,249)
(143,174,246)
(134,172,239)
(134,174,241)
(135,175,242)
(138,180,244)
(138,180,244)
(140,183,242)
(140,183,242)
(150,183,244)
(162,170,242)
(174,169,247)
(174,170,244)
(172,169,242)
(169,167,238)
(167,166,233)
(170,169,236)
(169,172,236)
(174,178,239)
(170,180,239)
(166,178,238)
(164,178,238)
(164,178,239)
(159,177,238)
(156,177,238)
(150,177,239)
(140,178,246)
(132,178,249)
(130,178,244)
(129,178,241)
(135,178,238)
(145,180,238)
(156,178,236)
(162,177,236)
(162,177,236)
(159,178,236)
(148,177,236)
(148,178,239)
(150,175,242)
(159,174,244)
(170,166,244)
(174,164,242)
(170,164,242)
(162,162,239)
(154,164,239)
(145,166,239)
(130,164,236)
(114,161,231)
(97,164,231)
(106,166,236)
(126,154,230)
(146,154,233)
(162,156,239)
(146,158,238)
(110,158,233)
(97,154,228)
(113,150,226)
(121,148,226)
(129,156,234)
(132,154,233)
(142,154,230)
(151,156,228)
(156,151,223)
(154,148,215)
(148,143,215)
(148,146,217)
(140,145,217)
(134,143,218)
(129,140,218)
(129,142,217)
(135,143,215)
(143,145,215)
(151,145,212)
(151,145,212)
(148,143,217)
(150,146,220)
(148,146,217)
(143,142,209)
(140,142,202)
(138,145,201)
(135,150,202)
(134,151,202)
(118,138,190)
(113,132,186)
(110,124,185)
(98,108,177)
(89,84,162)
(73,60,145)
(70,47,140)
(73,46,137)
(71,39,124)
(73,42,124)
(65,41,122)
(50,38,113)
(38,34,102)
(34,34,98)
(39,39,97)
(49,42,98)
(47,33,86)
(58,34,86)
(65,34,87)
(68,38,90)
(68,38,90)
(60,33,86)
(47,28,78)
(42,28,73)
(49,30,78)
(50,36,79)
(50,38,74)
(44,36,70)
(39,36,66)
(42,39,70)
(47,38,74)
(54,34,79)
(60,33,87)
(63,30,90)
(71,30,94)
(71,31,92)
(68,34,86)
(62,36,74)
(57,34,63)
(57,31,58)
(73,34,63)
(81,36,66)
(78,39,68)
(71,36,65)
(62,31,62)
(50,28,57)
(46,28,58)
(41,28,58)
(44,34,65)
(47,38,65)
(50,38,65)
(47,36,60)
(49,33,58)
(49,33,54)
(49,28,50)
(39,28,50)
(36,30,70)
(42,34,84)
(58,42,100)
(74,49,114)
(82,47,124)
(82,46,129)
(81,44,132)
(71,42,137)
(62,46,142)
(52,44,142)
(49,44,143)
(47,46,145)
(47,47,143)
(52,44,142)
(54,41,137)
(50,38,134)
(58,47,145)
(55,47,146)
(54,49,148)
(50,49,148)
(50,49,151)
(49,47,150)
(50,44,148)
(52,42,146)
(55,39,145)
(60,42,143)
(60,39,138)
(54,38,134)
(54,42,134)
(54,49,137)
(49,49,135)
(47,44,127)
(63,46,126)
(62,42,122)
(65,44,127)
(70,49,135)
(68,50,140)
(60,49,140)
(57,44,140)
(55,46,140)
(44,38,132)
(41,38,132)
(39,38,127)
(39,39,126)
(41,38,121)
(41,39,119)
(39,39,116)
(41,39,110)
(50,44,102)
(49,41,90)
(46,38,81)
(44,39,74)
(44,41,71)
(42,42,65)
(41,38,57)
(38,34,54)
(39,33,52)
(39,33,52)
(39,30,47)
(36,28,42)
(36,28,36)
(36,28,34)
(39,31,34)
(38,33,36)
(31,30,36)
(28,28,33)
(28,28,33)
(28,28,30)
(33,28,31)
(36,28,30)
(39,30,31)
(44,33,38)
(46,34,42)
(42,31,42)
(42,30,47)
(41,30,54)
(41,31,62)
(46,34,68)
(44,34,71)
(42,36,76)
(41,34,81)
(42,39,86)
(44,39,79)
(38,36,68)
(34,33,58)
(36,33,52)
(34,30,44)
(28,28,33)
(34,30,33)
(34,30,33)
(36,30,38)
(34,28,36)
(34,28,38)
(36,28,42)
(34,28,46)
(38,31,50)
(31,28,47)
(36,33,52)
(39,34,58)
(38,33,57)
(36,28,54)
(36,28,54)
(44,30,62)
(50,36,70)
(55,38,79)
(55,36,81)
(52,34,86)
(54,36,89)
(54,36,97)
(54,36,100)
(54,34,102)
(52,31,102)
(55,33,100)
(58,34,105)
(58,38,111)
(55,36,113)
(54,36,116)
(47,34,119)
(47,38,126)
(49,39,134)
(49,41,138)
(42,38,137)
(39,33,137)
(36,34,137)
(39,36,142)
(47,44,150)
(55,50,161)
(52,60,161)
(52,90,174)
(58,111,185)
(73,121,196)
(71,116,191)
(65,106,180)
(66,106,177)
(71,111,182)
(76,116,183)
(81,126,191)
(84,132,198)
(82,134,199)
(74,126,194)
(63,118,186)
(60,114,183)
(58,113,182)
(60,110,182)
(73,111,185)
(74,113,186)
(70,119,191)
(65,124,194)
(54,121,193)
(44,119,190)
(44,122,193)
(55,130,201)
(60,126,198)
(66,124,198)
(79,122,202)
(90,124,206)
(105,127,210)
(110,127,210)
(111,124,209)
(105,122,206)
(98,121,204)
(98,126,207)
(95,126,207)
(92,124,201)
(87,124,198)
(84,124,194)
(81,121,188)
(74,116,180)
(71,118,180)
(73,119,182)
(73,122,185)
(78,127,190)
(84,129,194)
(86,130,196)
(86,129,199)
(90,130,201)
(113,138,212)
